Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
leftish, 7, 7, 6, 1, e i n s h t,0,7,3,0
legislated, 10, 8, 4, 1, e r s l,0,7,2,0
length, 6, 6, 7, 5, e r a i o t u,0,6,3,0
lessening, 9, 6, 6, 2, e r n g i a,0,7,3,0
levies, 6, 5, 5, 2, e d r s v,0,10,6,0
liberalism, 10, 8, 6, 1, e i a l r t,0,8,3,0
lichee, 6, 5, 4, 2, e o y h,0,9,6,0
lifespan, 8, 8, 5, 1, e r i l n,0,6,2,0
lightweights, 12, 8, 2, 0, i s,0,2,0,0
liminal, 7, 5, 4, 2, e i s l,0,6,3,0
lineup, 6, 6, 6, 1, e s n i l p,0,10,6,0
lipped, 6, 5, 10, 5, e r d a o i t n l p,0,14,10,2
listeria, 8, 7, 5, 0, e s t a i,0,5,1,0
littler, 7, 5, 4, 0, e r i t,0,5,2,0
loafers, 7, 7, 7, 0, e s r a l o f,0,11,5,0
localise, 8, 7, 5, 0, e a i o l,0,10,4,0
lodger, 6, 6, 8, 3, e r a i o l g n,0,11,6,0
loiterer, 8, 6, 4, 1, e d r t,0,8,3,0
looked, 6, 5, 10, 6, e r d a o l t s p m,0,16,12,3
lopsided, 8, 7, 4, 0, e s i d,0,7,3,0
loungers, 8, 8, 5, 0, e s r l u,0,10,4,0
lowliest, 8, 7, 9, 3, e s t i u a o w d,0,10,4,0
lukewarm, 8, 8, 7, 2, e r o a n u l,0,6,4,0
lunching, 8, 7, 10, 3, e i n g h c u p m l,0,13,7,0
lusting, 7, 7, 11, 4, e i n g a o u s t r l,0,10,5,0
lyrics, 6, 6, 7, 5, e a i n s o u,0,10,6,0
madden, 6, 5, 6, 3, e r d n s i,0,11,7,0
magnesia, 8, 7, 3, 0, e s a,0,5,2,0
mailbox, 7, 7, 5, 2, e i r l b,0,6,3,0
majorettes, 10, 8, 5, 0, e r s t a,0,3,0,0
malfunctions, 12, 11, 6, 0, i t s o n a,0,3,1,0
mammalian, 9, 5, 6, 2, e i n o a l,0,8,5,0
manger, 6, 6, 8, 2, e r a t n d g m,0,14,9,5
manipulators, 12, 11, 3, 1, i e a,0,4,1,0
mantrap, 7, 6, 8, 3, e i a n r t m s,0,7,4,0
marchioness, 11, 10, 5, 0, e s n r i,0,5,1,0
marking, 7, 7, 8, 2, e i n g a r p m,0,14,9,8
marshland, 9, 8, 5, 2, e i a r s,0,6,4,0
masks, 5, 4, 7, 3, e s t a p k m,0,14,11,5
masterminded, 12, 9, 3, 0, i e s,0,3,0,0
materiality, 11, 8, 3, 0, e i t,0,3,0,0
maturation, 10, 8, 9, 2, e i n o t r u a s,0,7,2,0
mayonnaise, 10, 8, 4, 0, e a o s,0,5,1,0
meant, 5, 5, 7, 4, e s a y t l r,0,10,6,0
meddlers, 8, 6, 7, 2, e s r t d l p,0,14,8,0
medulla, 7, 6, 5, 3, e i r s a,0,8,6,0
mellows, 7, 6, 10, 4, e i r s a o l w y m,0,14,9,4
menacingly, 10, 9, 4, 0, e i a n,0,6,2,0
merchantability, 15, 12, 6, 0, i l y t b n,0,2,0,0
merrymaking, 11, 9, 5, 0, e i n g r,0,7,3,0
metamorphic, 11, 10, 4, 0, e i o a,0,5,0,0
methylene, 9, 7, 2, 0, e n,0,2,0,0
microcosm, 9, 6, 4, 2, e i t s,0,7,4,0
middle, 6, 5, 12, 8, e l a u i n p g f c d r,0,14,9,2
mighty, 6, 6, 8, 5, e a i s l o y h,0,7,5,0
militated, 9, 7, 7, 2, e s d n a t i,0,7,3,0
millipedes, 10, 7, 3, 1, e r s,0,5,3,0
minefields, 10, 8, 2, 0, e n,0,5,3,0
minimum, 7, 4, 5, 3, e i s l m,0,12,10,2
miracle, 7, 7, 6, 1, e a l b r c,0,10,5,0
miscegenation, 13, 10, 2, 0, i n,0,4,0,0
misfield, 8, 7, 4, 1, e s a l,0,7,4,0
misled, 6, 6, 9, 5, e r d a o i t n l,0,10,6,0
missed, 6, 5, 11, 6, e r d a o i t n l s m,0,14,9,2
mistreated, 10, 8, 3, 0, e r s,0,5,1,0
mixers, 6, 6, 8, 2, e s r a i v m x,0,14,9,8
mockups, 7, 7, 8, 3, e i a o u s p k,0,10,8,0
modishly, 8, 8, 8, 3, e i a n l s h y,0,11,5,0
moleskin, 8, 8, 6, 1, e r i s m n,0,8,3,0
moneylender, 11, 8, 2, 0, e r,0,6,3,0
monomania, 9, 5, 3, 1, e i a,0,4,2,0
montages, 8, 8, 8, 2, e s i a g o t l,0,6,1,0
mopes, 5, 5, 9, 4, e s a i o d p r m,0,16,11,8
moroseness, 10, 6, 4, 0, e s n o,0,4,2,0
mosquito, 8, 7, 4, 2, e i n s,0,4,2,0
motivations, 11, 8, 7, 1, e i n s o a t,0,4,1,0
mountable, 9, 9, 8, 2, e a i u t o m h,0,12,6,0
move, 4, 4, 11, 7, e a o r l d n p v w m,0,16,13,12
mudlarks, 8, 8, 8, 3, e i a s o r u d,0,10,6,0
multilateralism, 15, 9, 2, 0, i t,0,2,0,0
mummy, 5, 3, 11, 8, e s a o i u y r p b m,0,14,12,33
muscular, 8, 7, 9, 4, e i a o u r l s t,0,7,5,0
mustered, 8, 7, 8, 2, e d r t a i s u,0,5,3,0
mutts, 5, 4, 12, 8, e s a o i u l r p k t m,0,14,10,3
nadir, 5, 5, 7, 3, e s a y i d r,0,7,4,0
napkin, 6, 5, 4, 1, e a i n,0,6,3,0
national, 8, 6, 7, 1, e i a t l o n,0,6,1,0
nautical, 8, 7, 6, 2, e i s l a c,0,6,2,0
nebulous, 8, 7, 6, 2, e i a o s u,0,6,3,0
needlework, 10, 8, 2, 0, e l,0,4,2,0
neither, 7, 6, 7, 3, e d s r t h a,0,5,2,0
netting, 7, 5, 5, 0, e i n g t,0,6,2,0
neutrals, 8, 8, 4, 1, e i a r,0,6,2,0
ngoing, 6, 4, 5, 2, e a i n o,0,6,3,0
nightfall, 9, 8, 8, 1, e i t h g a n l,0,7,3,0
nitric, 6, 5, 5, 2, e a i t n,0,6,3,0
noisiness, 9, 5, 3, 0, e s n,0,5,2,0
nonsmoking, 10, 7, 3, 1, e i n,0,5,3,0
norway, 6, 6, 7, 4, e a l o m n t,0,10,6,0
notices, 7, 7, 9, 3, e r d s i c o n v,0,7,1,0
nu, 2, 2, 6, 4, o e i a u n,0,6,5,0
numerate, 8, 7, 5, 2, e l i a m,0,6,2,0
nuts, 4, 4, 12, 8, e a o i u s b g t r p n,0,6,4,0
obeys, 5, 5, 6, 3, e s r l o n,0,8,5,0
oblong, 6, 5, 5, 4, e a i o d,0,6,4,0
obsesses, 8, 4, 3, 1, e d s,0,7,4,0
obvious, 7, 6, 7, 3, e i s n r u o,0,5,3,0
octagonal, 9, 7, 5, 2, e i a l n,0,4,1,0
oestrogens, 10, 7, 3, 0, e t o,0,4,1,0
oft, 3, 3, 7, 5, a o l e t u p,0,15,12,3
oldtimer, 8, 8, 5, 1, e s d r i,0,4,1,0
oneness, 7, 4, 4, 1, e r s o,0,6,3,0
open, 4, 4, 10, 6, e s d r l n o x v p,0,16,12,4
